Date,Symbol,Security Name,Client Name,Buy / Sell,Quantity Traded ,Trade Price / Wght. Avg. Price,Remarks
03-Oct-2022,MAXIND,Max India Limited,238 PLAN ASSOCIATES LLC,BUY,"2,34,000",82,-
10-Oct-2022,CMRSL,Cyber Media Res &amp; Ser Ltd,3 SIGMA GLOBAL FUND,SELL,16000,245.25,-
13-Oct-2022,FROG,Frog Cellsat Limited,3 SIGMA GLOBAL FUND,SELL,87600,174.58,-
06-Apr-2022,URAVI,Uravi T And Wedg Lamp Ltd,4G IT SOLUTIONS (INDIA) PRIVATE LIMITED,BUY,28800,110,-
07-Apr-2022,URAVI,Uravi T And Wedg Lamp Ltd,4G IT SOLUTIONS (INDIA) PRIVATE LIMITED,SELL,27600,111,-
06-Sep-2022,GODHA,Godha Cabcon Insulat Ltd,7M DEVELOPERS LLP,BUY,"14,00,000",3.42,-
06-Sep-2022,GODHA,Godha Cabcon Insulat Ltd,7M DEVELOPERS LLP,SELL,"14,00,000",3.45,-
08-Sep-2022,MKPL,M K Proteins Limited,7M DEVELOPERS LLP,BUY,50000,231.5,-
09-Jun-2022,SALASAR,Salasar Techno Engg. Ltd.,7M DEVELOPERS LLP,SELL,"2,00,000",247.25,-
11-Jul-2022,SALASAR,Salasar Techno Engg. Ltd.,7M DEVELOPERS LLP,BUY,"19,98,348",26.05,-
11-Jul-2022,SALASAR,Salasar Techno Engg. Ltd.,7M DEVELOPERS LLP,SELL,"20,00,000",26.2,-
13-Sep-2022,GODHA,Godha Cabcon Insulat Ltd,7M DEVELOPERS LLP,BUY,"20,75,190",3.85,-
13-Sep-2022,GODHA,Godha Cabcon Insulat Ltd,7M DEVELOPERS LLP,SELL,"20,75,190",3.95,-
26-Dec-2022,GODHA,Godha Cabcon Insulat Ltd,7M DEVELOPERS LLP,BUY,"35,07,703",2.8,-
22-Mar-2022,JINDALPHOT,Jindal Photo Limited,A C AGARWAL COMMODITIES PVT. LTD,BUY,54854,262.66,-
20-Jul-2022,LIBAS,Libas Consu Products Ltd,A C AGARWAL SHARE BROKERS PVT. LTD.,BUY,99872,25.21,-
20-Jul-2022,LIBAS,Libas Consu Products Ltd,A C AGARWAL SHARE BROKERS PVT. LTD.,SELL,74071,25.63,-
22-Aug-2022,MEP,MEP Infra. Developers Ltd,A J TOLLS PRIVATE LIMITED,SELL,"13,15,000",16.95,-
30-Jun-2022,PATINTLOG,Patel Integrated Logistic,A S PATEL TRUST,BUY,378,13,-
