Date,Symbol,Security Name,Client Name,Buy / Sell,Quantity Traded ,Trade Price / Wght. Avg. Price,Remarks
30-Jun-2022,PATINTLOG,Patel Integrated Logistic,A S PATEL TRUST,SELL,"1,87,024",12.33,-
30-Jun-2022,PATINTPP,Patel Inte Rs. 2.5 ppd up,A S PATEL TRUST,BUY,"2,43,667",4.29,-
24-Aug-2022,MEP,MEP Infra. Developers Ltd,A.T. TRADE OVERSEAS PRIVATE LIMITED,BUY,"15,00,000",16.75,-
02-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,BUY,"1,53,656",1125.82,-
02-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,SELL,"1,53,656",1126.29,-
03-Nov-2022,MAZDOCK,Mazagon Dock Shipbuil Ltd,AAKRAYA RESEARCH LLP,BUY,"10,21,730",765.07,-
03-Nov-2022,MAZDOCK,Mazagon Dock Shipbuil Ltd,AAKRAYA RESEARCH LLP,SELL,"10,21,730",765.47,-
05-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,BUY,"1,16,108",1176.69,-
05-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,SELL,"1,16,108",1177.09,-
06-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,BUY,86257,1201.81,-
06-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,SELL,86257,1202.17,-
07-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,BUY,95726,1225.68,-
07-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,SELL,95726,1226.01,-
18-Aug-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,BUY,94693,1062.79,-
18-Aug-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,SELL,94693,1063.14,-
20-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,BUY,87943,1224.44,-
20-Sep-2022,RIIL,Reliance Indl Infra Ltd,AAKRAYA RESEARCH LLP,SELL,87943,1224.86,-
11-Feb-2022,SRPL,Shree Ram Proteins Ltd.,AALPS EQUITRADE LLP,BUY,"2,00,000",75.05,-
21-Feb-2022,SRPL,Shree Ram Proteins Ltd.,AALPS EQUITRADE LLP,SELL,"1,90,000",98,-
04-Mar-2022,SHIVAUM,Shiv Aum Steels Limited,AARAVI DEVELOPERS PRIVATE LIMITED,BUY,"3,27,000",78.04,-
04-Mar-2022,URAVI,Uravi T And Wedg Lamp Ltd,AARAVI DEVELOPERS PRIVATE LIMITED,BUY,96000,126,-
09-Mar-2022,URAVI,Uravi T And Wedg Lamp Ltd,AARAVI DEVELOPERS PRIVATE LIMITED,BUY,30000,126,-
28-Apr-2022,SUPREMEENG,Supreme Engineering Ltd,AARNA FINVEST,BUY,"13,00,000",2.85,-
28-Apr-2022,SUPREMEENG,Supreme Engineering Ltd,AARNA FINVEST,SELL,86417,2.85,-
27-Sep-2022,CLOUD,Varanium Cloud Limited,AARTI SUNIL ANANDPARA,BUY,"2,00,000",131,-
15-Dec-2022,CEREBRAINT,Cerebra Int Tech Ltd,AARVANSS BUILDWELL AND INFRACON LLP,SELL,"9,00,000",17.18,-
09-Mar-2022,HGS,Hinduja Global Sols Ltd,AASIA CORPORATION LLP,SELL,"4,17,809",1130,-
01-Jun-2022,NXTDIGITAL,NXTDIGITAL LIMITED,AASIA EXPORTS,SELL,"11,00,000",380,-
07-Mar-2022,HGS,Hinduja Global Sols Ltd,AASIA EXPORTS,SELL,"8,14,490",1130,-
09-Mar-2022,HGS,Hinduja Global Sols Ltd,AASIA EXPORTS,SELL,"6,00,000",1130,-
15-Jun-2022,NXTDIGITAL,NXTDIGITAL LIMITED,AASIA EXPORTS,SELL,"8,13,123",357.25,-
21-Mar-2022,HGS,Hinduja Global Sols Ltd,AASIA EXPORTS,SELL,"6,00,000",1090,-
08-Aug-2022,AGARIND,Agarwal Inds Corp Ltd.,AAVYANA ADVISORS LLP,SELL,"1,00,000",618,-
22-Dec-2022,AJANTPHARM,Ajanta Pharma Ltd,AAYUSH AGRAWAL TRUST,SELL,"38,53,959",1160.1,-
11-Jan-2022,RUPA,Rupa &amp; Company Ltd,ABAKKUS ASSET MANAGER LLP,BUY,"14,45,000",465.5,-
07-Dec-2022,STYLAMIND,Stylam Industries Limited,ABAKKUS ASSET MANAGER LLP(HDFC CUSTODY),BUY,"3,50,000",1127.05,-
04-May-2022,JKIL,J.Kumar Infraprojects Lim,ABAKKUS GROWTH FUND-2,BUY,"20,05,000",225.1,-
11-Jan-2022,RUPA,Rupa &amp; Company Ltd,ABAKKUS GROWTH FUND-2,BUY,"8,61,000",465.5,-
14-Feb-2022,SHIL,Somany Hom Innovation ltd,ABAKKUS GROWTH FUND-2,BUY,"5,00,000",365.1,-
02-Dec-2022,SADBHAV,Sadbhav Engineering Limit,ABDUL AZEES,BUY,50000,17.6,-
02-Dec-2022,SADBHAV,Sadbhav Engineering Limit,ABDUL AZEES,SELL,"10,90,000",17.86,-
02-Jun-2022,FEL,Future Enterprises Ltd,ABDUL AZEES,SELL,"26,64,805",2.65,-
04-Aug-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,BUY,"36,00,000",2.5,-
05-Dec-2022,SADBHAV,Sadbhav Engineering Limit,ABDUL AZEES,BUY,"9,21,159",20.82,-
05-Dec-2022,SADBHAV,Sadbhav Engineering Limit,ABDUL AZEES,SELL,11294,18.9,-
05-Sep-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,BUY,"1,01,820",2.4,-
05-Sep-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,SELL,"51,35,000",2.41,-
09-Jun-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,BUY,7698,5.14,-
09-Jun-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,SELL,"40,08,186",4.98,-
24-Aug-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,BUY,"38,81,221",2.22,-
24-Aug-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,SELL,25000,2.2,-
29-Mar-2022,FCONSUMER,Future Consumer Ltd,ABDUL AZEES,BUY,"101,50,074",4.49,-
29-Sep-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,BUY,"7,00,000",2.43,-
29-Sep-2022,KBCGLOBAL,KBC Global Limited,ABDUL AZEES,SELL,"41,06,919",2.31,-
30-Sep-2022,SADBHAV,Sadbhav Engineering Limit,ABDUL AZEES,BUY,"9,29,703",13.5,-
30-Sep-2022,SADBHAV,Sadbhav Engineering Limit,ABDUL AZEES,SELL,5000,13.55,-
17-Jun-2022,LANCER,Lancer Container Line Ltd,ABDUL KHALIK ABDUL KADAR CHATAIWALA,SELL,"4,00,000",200,-
29-Jun-2022,LANCER,Lancer Container Line Ltd,ABDUL KHALIK ABDUL KADAR CHATAIWALA,SELL,"7,50,000",200.04,-
05-Jan-2022,SANCO,Sanco Industries Ltd.,ABDUL QADIR SHAIKH,BUY,58426,17.75,-
28-Jan-2022,SANCO,Sanco Industries Ltd.,ABDUL QADIR SHAIKH,SELL,68000,12.4,-
06-Oct-2022,SUULD,Suumaya Industries Ltd,ABHAY NARAIN GUPTA,SELL,"4,08,751",44.93,-
06-Sep-2022,SUULD,Suumaya Industries Ltd,ABHAY NARAIN GUPTA,BUY,"2,50,000",42,-
07-Nov-2022,SUULD,Suumaya Industries Ltd,ABHAY NARAIN GUPTA,SELL,"2,48,974",47.42,-
18-Aug-2022,GULFPETRO,GP Petroleums Limited,ABHAY NARAIN GUPTA,SELL,"3,00,000",56.01,-
20-Jun-2022,MOKSH,Moksh Ornaments Limited,ABHAY NARAIN GUPTA,BUY,"7,50,000",18.75,-
28-Oct-2022,SUULD,Suumaya Industries Ltd,ABHAY NARAIN GUPTA,BUY,"5,65,000",41.64,-
29-Jun-2022,MOKSH,Moksh Ornaments Limited,ABHAY NARAIN GUPTA,BUY,"3,44,074",19.56,-
29-Jun-2022,MOKSH,Moksh Ornaments Limited,ABHAY NARAIN GUPTA,SELL,"3,42,156",19.56,-
30-Sep-2022,SUULD,Suumaya Industries Ltd,ABHAY NARAIN GUPTA,SELL,"10,80,479",45.72,-
02-Feb-2022,DIL,Debock Industries Limited,ABHINANDAN DHANAPAL KHEMALAPURE,BUY,90000,128.75,-
02-Feb-2022,DIL,Debock Industries Limited,ABHINANDAN DHANAPAL KHEMALAPURE,SELL,84000,128.75,-
14-Jan-2022,DIL,Debock Industries Limited,ABHINANDAN DHANAPAL KHEMALAPURE,BUY,78000,130.15,-
14-Jan-2022,DIL,Debock Industries Limited,ABHINANDAN DHANAPAL KHEMALAPURE,SELL,78000,130.15,-
17-Jan-2022,DIL,Debock Industries Limited,ABHINANDAN DHANAPAL KHEMALAPURE,BUY,78000,128.05,-
17-Jan-2022,DIL,Debock Industries Limited,ABHINANDAN DHANAPAL KHEMALAPURE,SELL,24000,123.8,-
27-Jan-2022,DIL,Debock Industries Limited,ABHINANDAN DHANAPAL KHEMALAPURE,SELL,54000,126.8,-
02-Sep-2022,TRU,TruCap Finance Limited,ABHINAV COMMOSALES,BUY,"5,00,000",93.8,-
04-May-2022,ASLIND,ASL Industries Limited,ABHINAV COMMOSALES,SELL,"1,56,000",38,-
05-May-2022,AKASH,Akash Infra-Projects Ltd,ABHINAV COMMOSALES,BUY,"1,37,000",44.65,-
16-Feb-2022,ASLIND,ASL Industries Limited,ABHINAV COMMOSALES,BUY,64000,35,-
04-Jan-2022,UJAAS,Ujaas Energy Limited,ABHISHEK,BUY,"10,89,893",4.85,-
04-Jan-2022,UJAAS,Ujaas Energy Limited,ABHISHEK,SELL,"10,89,893",4.83,-
10-Nov-2022,VISASTEEL,Visa Steel Limited,ABHISHEK AGARWAL,BUY,"10,49,621",17.97,-
12-Aug-2022,KBCGLOBAL,KBC Global Limited,ABHISHEK ASHVINBHAI KAMDAR HUF,BUY,"45,05,000",2.43,-
12-Aug-2022,KBCGLOBAL,KBC Global Limited,ABHISHEK ASHVINBHAI KAMDAR HUF,SELL,"45,05,000",2.45,-
17-Jan-2022,QUADPRO,Quadpro ITeS Limited,ABHISHEK PARWAL,SELL,"1,56,000",13.03,-
13-Oct-2022,HINDCON,Hindcon Chemicals Limited,ABHISHEK STOCK INVESTMENTS PVT LTD,SELL,65000,120.8,-
15-Sep-2022,HINDCON,Hindcon Chemicals Limited,ABHISHEK STOCK INVESTMENTS PVT LTD,SELL,58000,104.15,-
05-Dec-2022,RAINBOW,Rainbow Childrens Med Ltd,ABU DHABI INVESTMENT AUTHORITY,BUY,"9,00,000",741.25,-
11-Aug-2022,NEWGEN,Newgen Software Tech Ltd,ABU DHABI INVESTMENT AUTHORITY,SELL,"8,09,409",370,-
21-Sep-2022,TRITURBINE,Triveni Turbine Limited,ABU DHABI INVESTMENT AUTHORITY,BUY,"40,58,227",226.7,-
22-Nov-2022,DEVIT,Dev Info Technology Ltd,ACADEMY FOR COMPUTER TRAINING GUJ PRIVATE LIMITED,SELL,70000,222.5,-
24-Nov-2022,DEVIT,Dev Info Technology Ltd,ACADEMY FOR COMPUTER TRAINING GUJ PVT LTD,SELL,58000,232.5,-
16-Sep-2022,COAST-RE,Coastal Corp Limited-RE,ACHANTA SATYASREE,SELL,14043,110.38,-
19-Sep-2022,COAST-RE,Coastal Corp Limited-RE,ACHANTA SATYASREE,SELL,25558,101.72,-
02-Sep-2022,JPPOWER,Jaiprakash Power Ven. Lt,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"352,76,502",8.39,-
02-Sep-2022,JPPOWER,Jaiprakash Power Ven. Lt,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"299,90,103",8.39,-
04-Nov-2022,SOUTHBANK,South Indian Bank Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"123,26,262",15.04,-
04-Nov-2022,SOUTHBANK,South Indian Bank Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"123,41,262",15.02,-
04-Oct-2022,SCAPDVR,Stampede Capital Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"4,00,000",14.35,-
05-Dec-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"510,51,024",10.04,-
05-Dec-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"503,37,637",10.02,-
09-Dec-2022,YESBANK,Yes Bank Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"1249,23,044",19.73,-
09-Dec-2022,YESBANK,Yes Bank Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"1296,69,439",19.74,-
09-Feb-2022,AJOONI,Ajooni Biotech Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"1,00,812",82.61,-
09-Feb-2022,AJOONI,Ajooni Biotech Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,48132,82.95,-
10-Oct-2022,JPASSOCIAT,Jaiprakash Associates Lim,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"138,23,518",11.53,-
10-Oct-2022,JPASSOCIAT,Jaiprakash Associates Lim,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"134,59,237",11.55,-
12-Jul-2022,MTNL,Maha Tel Nigam Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"30,01,023",25.42,-
12-Jul-2022,MTNL,Maha Tel Nigam Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"30,51,048",25.44,-
13-Dec-2022,YESBANK,Yes Bank Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"1411,89,615",22.77,-
13-Dec-2022,YESBANK,Yes Bank Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"1401,72,181",22.78,-
14-Dec-2022,SITINET,Siti Networks Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"122,85,551",2.47,-
14-Dec-2022,SITINET,Siti Networks Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"69,06,044",2.47,-
15-Dec-2022,SITINET,Siti Networks Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"48,36,259",2.47,-
15-Dec-2022,SITINET,Siti Networks Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"113,75,510",2.5,-
15-Dec-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"545,60,920",11.03,-
15-Dec-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"525,80,064",11.04,-
15-Sep-2022,SOUTHBANK,South Indian Bank Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"184,17,096",10.11,-
15-Sep-2022,SOUTHBANK,South Indian Bank Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"172,02,628",10.12,-
19-Oct-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"630,54,785",8.74,-
19-Oct-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"635,05,123",8.7,-
20-Dec-2022,BAJAJHIND,Bajaj Hindustan Sugar Ltd,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"73,32,888",18.9,-
20-Dec-2022,BAJAJHIND,Bajaj Hindustan Sugar Ltd,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"76,69,503",18.93,-
20-Dec-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"604,59,171",11.63,-
20-Dec-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"629,30,018",11.64,-
20-Jul-2022,SCAPDVR,Stampede Capital Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"2,90,000",9.03,-
20-Oct-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"575,69,324",8.8,-
20-Oct-2022,SUZLON,Suzlon Energy Limited,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"622,72,745",8.85,-
22-Jul-2022,ANSALHSG,Ansal Housing and Constru,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,83017,7.82,-
22-Jul-2022,ANSALHSG,Ansal Housing and Constru,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"3,74,559",7.88,-
25-Oct-2022,SOUTHBANK,South Indian Bank Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"212,59,050",13.16,-
25-Oct-2022,SOUTHBANK,South Indian Bank Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"206,86,761",13.16,-
27-Oct-2022,SOUTHBANK,South Indian Bank Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,BUY,"132,71,175",13.8,-
27-Oct-2022,SOUTHBANK,South Indian Bank Ltd.,ACHINTYA COMMODITIES PRIVATE LIMITED,SELL,"123,65,818",13.79,-
21-Feb-2022,SELAN,Selan Exploration Technol,ACHINTYA SECURITIES PRIVATE LIMITED,BUY,89469,157.48,-
06-Apr-2022,ATALREAL,Atal Realtech Limited,ACME FINVEST PRIVATE LIMITED,SELL,40000,127.11,-
24-Mar-2022,ATALREAL,Atal Realtech Limited,ACME FINVEST PRIVATE LIMITED,BUY,49600,100.29,-
24-May-2022,GMRINFRA,GMR Infrastructure Limite,AD INVESTORS FUND LP,BUY,"405,75,100",36.65,-
07-Jan-2022,QUADPRO,Quadpro ITeS Limited,ADHEESH KABRA HUF,SELL,"1,32,000",13.04,-
08-Dec-2022,BAHETI,Baheti Recycling Ind Ltd,ADHEESH KABRA HUF,BUY,60000,120,-
19-Apr-2022,JSLL,Jeena Sikho Lifecare Ltd,ADHEESH KABRA HUF,BUY,"1,00,000",165.1,-
05-Sep-2022,RUCHIRA,Ruchira Papers Limited,ADHISH KESKAR,BUY,"1,50,000",151.35,-
05-Sep-2022,RUCHIRA,Ruchira Papers Limited,ADHISH KESKAR,SELL,5000,150.08,-
11-Mar-2022,ASTRAMICRO,Astra Microwave Products,ADHUNIK RESIDENCY PRIVATE LIMITED,SELL,"5,00,000",216.26,-
16-Feb-2022,KAVVERITEL,Kavveri Telecom Products,ADITYA  ENTERPRISE,BUY,"2,85,000",10.5,-
21-Feb-2022,RICHA,Richa Info Systems Ltd,ADITYA  ENTERPRISE,BUY,38000,125,-
23-Nov-2022,RICHA,Richa Info Systems Ltd,ADITYA  ENTERPRISE,SELL,44000,100,-
11-Jul-2022,COASTCORP,Coastal Corporation Ltd,ADITYA ACHANTA,SELL,"2,30,000",251.6,-
13-Jan-2022,COASTCORP,Coastal Corporation Ltd,ADITYA ACHANTA,SELL,70000,330.41,-
14-Jan-2022,COASTCORP,Coastal Corporation Ltd,ADITYA ACHANTA,SELL,"1,00,000",466.55,-
22-Aug-2022,COASTCORP,Coastal Corporation Ltd,ADITYA ACHANTA,SELL,60000,325.01,-
29-Jul-2022,COASTCORP,Coastal Corporation Ltd,ADITYA ACHANTA,SELL,"1,67,252",287.71,-
26-Aug-2022,ROLEXRINGS,Rolex Rings Limited,ADITYA BIRLA SUN LIFE EQUITY ADVANTAGE FUND,BUY,"2,79,247",1700,-
26-Aug-2022,ROLEXRINGS,Rolex Rings Limited,ADITYA BIRLA SUN LIFE EQUITY HYBRID 95 FUND,BUY,"2,79,247",1700,-
21-Sep-2022,TRITURBINE,Triveni Turbine Limited,ADITYA BIRLA SUN LIFE MUTUAL FUND,BUY,"16,17,409",226.7,-
21-Sep-2022,TRITURBINE,Triveni Turbine Limited,ADITYA BIRLA SUN LIFE MUTUAL FUND,BUY,"21,56,546",226.7,-
16-Dec-2022,GMMPFAUDLR,GMM Pfaudler Limited,ADITYA BIRLA SUN LIFE MUTUAL FUND AC BIRLA MIDCAP FUND,BUY,"4,41,176",1700,-
16-Dec-2022,GMMPFAUDLR,GMM Pfaudler Limited,ADITYA BIRLA SUN LIFE MUTUAL FUND AC BIRLA SUN LIFE EQUITY FUND,BUY,"5,29,412",1700,-
19-Jan-2022,PRICOLLTD,Pricol Limited,ADITYA BIRLA SUN LIFE MUTUAL FUND PURE VALUE FUND,BUY,"10,00,000",126.5,-
02-Nov-2022,RICHA,Richa Info Systems Ltd,ADITYA ENTERPRISE,SELL,18000,99.75,-
08-Jun-2022,RICHA,Richa Info Systems Ltd,ADITYA ENTERPRISE,BUY,18000,58.11,-
31-May-2022,DHANVARSHA,Dhanvarsha Finvest Limite,ADITYA ENTERPRISE,BUY,"4,95,000",79.5,-
25-Nov-2022,FELIX,Felix Industries Ltd.,ADITYA JOSHI,BUY,28000,71.99,-
25-Nov-2022,FELIX,Felix Industries Ltd.,ADITYA JOSHI,SELL,4000,73,-
02-Sep-2022,MCLEODRUSS,Mcleod Russel India Limit,ADITYA KUMAR HALWASIYA,BUY,"7,57,196",25.15,-
02-Sep-2022,MCLEODRUSS,Mcleod Russel India Limit,ADITYA KUMAR HALWASIYA,SELL,57196,25.75,-
16-Sep-2022,MCLEODRUSS,Mcleod Russel India Limit,ADITYA KUMAR HALWASIYA,BUY,"7,00,000",26.69,-
19-Sep-2022,MCLEODRUSS,Mcleod Russel India Limit,ADITYA KUMAR HALWASIYA,SELL,"7,00,000",34.25,-
23-Sep-2022,MCLEODRUSS,Mcleod Russel India Limit,ADITYA KUMAR HALWASIYA,BUY,"5,50,000",32.75,-
26-Sep-2022,MCLEODRUSS,Mcleod Russel India Limit,ADITYA KUMAR HALWASIYA,SELL,"9,60,000",30.36,-
29-Jul-2022,SPECIALITY,Speciality Rest Ltd,ADITYA KUMAR HALWASIYA,BUY,"2,51,400",177.27,-
29-Jul-2022,SPECIALITY,Speciality Rest Ltd,ADITYA KUMAR HALWASIYA,SELL,11400,186.03,-
16-Sep-2022,MANGLMCEM,Mangalam Cement Ltd,ADITYA MARKETING&amp;MANUFACTURING PRIVATE LIMITED,SELL,"4,50,000",366.93,-
19-Sep-2022,MANGLMCEM,Mangalam Cement Ltd,ADITYA MARKETING&amp;MANUFACTURING PRIVATE LIMITED,SELL,"2,79,830",373.1,-
28-Mar-2022,ATALREAL,Atal Realtech Limited,ADITYA SONI,BUY,25600,106.48,-
28-Mar-2022,ATALREAL,Atal Realtech Limited,ADITYA SONI,SELL,25600,110.03,-
03-Nov-2022,HILTON-RE,Hilton Metal Forging Limi,ADITYA TULSIAN,BUY,45000,7.2,-
04-Nov-2022,HILTON-RE,Hilton Metal Forging Limi,ADITYA TULSIAN,BUY,35000,7.25,-
14-Mar-2022,MCLEODRUSS,Mcleod Russel India Limit,ADITYA VIKRAM AGARWAL (HUF),SELL,"5,46,135",22.99,-
19-Jan-2022,MCLEODRUSS,Mcleod Russel India Limit,ADITYA VIKRAM AGARWAL (HUF),BUY,"5,85,000",31.35,-
01-Feb-2022,ABCOTS,A B Cotspin India Limited,ADROIT FINANCIAL SERVICES PVT LTD,BUY,76000,55.96,-
01-Feb-2022,ABCOTS,A B Cotspin India Limited,ADROIT FINANCIAL SERVICES PVT LTD,SELL,76000,56.53,-
02-Feb-2022,INVENTURE,Inventure Gro &amp; Sec Ltd,ADROIT FINANCIAL SERVICES PVT LTD,BUY,"161,87,325",4.49,-
02-Feb-2022,INVENTURE,Inventure Gro &amp; Sec Ltd,ADROIT FINANCIAL SERVICES PVT LTD,SELL,"150,30,534",4.49,-
02-May-2022,VIVIDHA,Visagar Polytex Ltd,ADROIT FINANCIAL SERVICES PVT LTD,BUY,"18,73,183",1.76,-
02-May-2022,VIVIDHA,Visagar Polytex Ltd,ADROIT FINANCIAL SERVICES PVT LTD,SELL,"14,94,883",1.76,-
03-Feb-2022,INVENTURE,Inventure Gro &amp; Sec Ltd,ADROIT FINANCIAL SERVICES PVT LTD,BUY,"144,44,499",4.26,-
03-Feb-2022,INVENTURE,Inventure Gro &amp; Sec Ltd,ADROIT FINANCIAL SERVICES PVT LTD,SELL,"159,82,161",4.24,-
03-Jan-2022,BCP,B.C. Power Controls Ltd,ADROIT FINANCIAL SERVICES PVT LTD,BUY,"9,10,816",6.88,-
03-Jan-2022,BCP,B.C. Power Controls Ltd,ADROIT FINANCIAL SERVICES PVT LTD,SELL,"8,04,711",6.88,-
03-Jan-2022,INVENTURE,Inventure Gro &amp; Sec Ltd,ADROIT FINANCIAL SERVICES PVT LTD,BUY,"62,35,593",3.9,-
03-Jan-2022,INVENTURE,Inventure Gro &amp; Sec Ltd,ADROIT FINANCIAL SERVICES PVT LTD,SELL,"44,75,349",3.92,-
03-Jan-2022,JPPOWER,Jaiprakash Power Ven. Lt,ADROIT FINANCIAL SERVICES PVT LTD,BUY,"603,94,343",6.98,-
03-Jan-2022,JPPOWER,Jaiprakash Power Ven. Lt,ADROIT FINANCIAL SERVICES PVT LTD,SELL,"582,39,600",7.02,-
04-Feb-2022,INVENTURE,Inventure Gro &amp; Sec Ltd,ADROIT FINANCIAL SERVICES PVT LTD,BUY,"80,07,832",4.43,-
